simAU
Inner planet mass	Outer planet mass	Percent Difference	Distance
3.540000000000003e-07	3.6600000000000034e-07	3.3898305084745886	0.1160397208403195	
3.780000000000004e-07	3.6600000000000034e-07	3.1746031746031855	0.10404040404040404	
3.570000000000003e-07	3.4500000000000024e-07	3.3613445378151385	0.11292432346572341	
3.6600000000000034e-07	3.750000000000004e-07	2.459016393442632	0.10656022367666107	
3.4500000000000024e-07	3.390000000000002e-07	1.7391304347826153	0.1	
3.810000000000004e-07	3.8700000000000043e-07	1.5748031496063049	0.10816871777305564	
3.4500000000000024e-07	3.390000000000002e-07	1.7391304347826153	0.12684342882037156	
3.390000000000002e-07	3.540000000000003e-07	4.424778761061964	0.12828282828282828	
3.390000000000002e-07	3.4800000000000026e-07	2.6548672566371785	0.12778127834700254	
3.5100000000000027e-07	3.7200000000000037e-07	5.982905982906005	0.11082332935251626	
3.540000000000003e-07	3.540000000000003e-07	0.0	0.12114137285547598	
3.570000000000003e-07	3.4800000000000026e-07	2.521008403361354	0.10931035330127936	
3.7200000000000037e-07	3.630000000000003e-07	2.419354838709686	0.10808080808080808	
3.750000000000004e-07	3.750000000000004e-07	0.0	0.10727659828951441	
3.4800000000000026e-07	3.4200000000000023e-07	1.7241379310344893	0.11212121212121212	
3.4800000000000026e-07	3.540000000000003e-07	1.7241379310344893	0.11616161616161616	
3.4200000000000023e-07	3.4200000000000023e-07	0.0	0.12365218608121753	
3.360000000000002e-07	3.4200000000000023e-07	1.785714285714293	0.12514649491351945	
3.5100000000000027e-07	3.600000000000003e-07	2.5641025641025736	0.11911384251964328	
3.390000000000002e-07	3.390000000000002e-07	0.0	0.12424242424242425	
3.390000000000002e-07	3.600000000000003e-07	6.1946902654867495	0.1182396075591909	
3.390000000000002e-07	3.5100000000000027e-07	3.5398230088495715	0.1202020202020202	
3.4500000000000024e-07	3.4500000000000024e-07	0.0	0.11431418309001973	
3.300000000000002e-07	3.540000000000003e-07	7.272727272727302	0.14244021294130646	
3.300000000000002e-07	3.570000000000003e-07	8.181818181818215	0.143237083856131	
3.390000000000002e-07	3.540000000000003e-07	4.424778761061964	0.13232323232323234	
3.2400000000000015e-07	3.540000000000003e-07	9.259259259259297	0.15280501503977428	
3.4200000000000023e-07	3.4200000000000023e-07	0.0	0.13103706971044482	
3.330000000000002e-07	3.540000000000003e-07	6.306306306306331	0.14057211088362487	
3.330000000000002e-07	3.330000000000002e-07	0.0	0.15108808205161317	
3.330000000000002e-07	3.390000000000002e-07	1.8018018018018092	0.13821937034197182	
3.2100000000000013e-07	3.330000000000002e-07	3.7383177570093613	0.1467523221730945	
3.4200000000000023e-07	3.330000000000002e-07	2.6315789473684315	0.14444444444444446	
3.360000000000002e-07	3.4200000000000023e-07	1.785714285714293	0.13636363636363635	
3.2400000000000015e-07	3.390000000000002e-07	4.629629629629648	0.1497939557845947	
3.2700000000000016e-07	3.360000000000002e-07	2.7522935779816624	0.15340366443789158	
3.300000000000002e-07	3.4500000000000024e-07	4.545454545454564	0.13679807573413577	
3.330000000000002e-07	3.4800000000000026e-07	4.5045045045045224	0.13425290262178388	
3.300000000000002e-07	3.4200000000000023e-07	3.636363636363651	0.1484848484848485	
3.360000000000002e-07	3.4200000000000023e-07	1.785714285714293	0.1479727244598282	
3.300000000000002e-07	3.5100000000000027e-07	6.363636363636389	0.15656565656565657	
3.300000000000002e-07	3.390000000000002e-07	2.727272727272738	0.13516464147013427	
3.2700000000000016e-07	3.4800000000000026e-07	6.422018348623879	0.15205504988933502	
3.390000000000002e-07	3.390000000000002e-07	0.0	0.14040404040404042	
3.330000000000002e-07	3.360000000000002e-07	0.9009009009009046	0.15252525252525254	
3.2700000000000016e-07	3.300000000000002e-07	0.9174311926605542	0.14521964333909262	
